model,accuracy,precision,recall,f1,roc_auc
Linear SVM,0.9787234042553191,0.9291338582677166,0.9007633587786259,0.9147286821705426,0.9942557885927316
Logistic Regression,0.971953578336557,0.8805970149253731,0.9007633587786259,0.8905660377358491,0.9925819786462429
Multinomial Naive Bayes,0.9729206963249516,0.9904761904761905,0.7938931297709924,0.8813559322033898,0.9851090089861614
